title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Number on Great-Grandpa's Arm",movie,"Documentary, Short",2018,tt7758866,7.6,329,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Triangle of Sadness",movie,"Comedy, Drama",2022,tt7322224,7.3,193031,"DK, FI, NO, PT, SE"
"The Resistance Banker",movie,"Biography, Drama, War",2018,tt4610378,6.9,10926,NL
"A tu lado",movie,Comedy,2018,tt6809956,6.4,50,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Aline,movie,"Biography, Comedy, Drama",2020,tt9735462,6.3,3498,PL
"Never Grow Old",movie,"Drama, Western",2019,tt1158939,6,5011,"DK, FI, NO, SE"
"La boda de Valentina",movie,"Comedy, Romance",2018,tt4823538,4.7,768,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Touch Me Not",movie,Drama,2018,tt4949112,5.6,3073,"MD, RO"
"Dora and the Lost City of Gold",movie,"Action, Adventure, Comedy",2019,tt7547410,6.1,36175,"DK, FI, NO, SE"
"Aristotle and Dante Discover the Secrets of the Universe",movie,Drama,2022,tt9428746,7.2,2722,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Ramen Shop",movie,Drama,2018,tt6720618,6.8,2524,"ID, MY, PH, SG, TH"
"The Wedding Guest",movie,"Action, Thriller",2018,tt7645780,5.8,6898,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
Primal,movie,"Action, Thriller",2019,tt7394816,4.9,11752,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Charlatan,movie,"Biography, Drama, History",2020,tt6028620,6.8,3350,"CZ, PL, SK"
"A Beautiful Day in the Neighborhood",movie,"Biography, Drama, Family",2019,tt3224458,7.2,90685,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Sound of Metal",movie,"Drama, Music",2019,tt5363618,7.7,156134,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
